"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SPICEPREFIX";
"R22";"7k5";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R";
"R23";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R";
"R24";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R";
"R25";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R";
"R26";"7k5";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R";
"RPROG";"2k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R";
"S1";"";"PUSH_BUTTON_ALPS";"B3F-31XX";"OMRON SWITCH";"";"B3F-3100";"959704";"36M3582";"";
"S2";"";"PUSH_BUTTON_ALPS";"B3F-31XX";"OMRON SWITCH";"";"B3F-3100";"959704";"36M3582";"";
"S3";"ALPS_Switch";"ALPS_SKSGPAE010S";"SKHMPXE010";"6.2 X 6.5mm TACT Switch (SMD)";"";"";"";"";"";
"SERIAL";"";"PINHD-2X3_SMD";"2X03";"PIN HEADER";"";"";"";"";"";
"SW_PWR1";"SOLDER_PAD";"SOLDER_PAD";"SOLDER_PAD";"";"";"";"";"";"";
"SW_PWR2";"SOLDER_PAD";"SOLDER_PAD";"SOLDER_PAD";"";"";"";"";"";"";
"S_ENC";"ENCODER";"ENCODER";"CI-11";"11mm Incemental Encoder";"";"";"unknown";"unknown";"";
"U1";"ATMEGA328P";"ATMEGA328P";"TQFP32-08";"";"";"";"";"";"";
"VBAT+";"SOLDER_PAD";"SOLDER_PAD";"SOLDER_PAD";"";"";"";"";"";"";
"VBAT-";"SOLDER_PAD";"SOLDER_PAD";"SOLDER_PAD";"";"";"";"";"";"";
"VUSB+";"SOLDER_PAD";"SOLDER_PAD";"SOLDER_PAD";"";"";"";"";"";"";
"VUSB-";"SOLDER_PAD";"SOLDER_PAD";"SOLDER_PAD";"";"";"";"";"";"";
"Y1";"16MHz";"RESONATOR1:1";"RESONATOR-SMD-1:1";"Resonator";"";"";"";"";"";
